Date,Open,High,Low,Close,SharesTraded,Turnover
2024-12-31,27195.65,27361.2,27060.7,27282,56700765,9072.45
2025-01-01,27287.05,27387.35,27185.45,27346.1,44756184,5956.79
2025-01-02,27402.95,27774.7,27314,27761.3,77709150,11582.42
2025-01-03,27818.65,27824.5,27486.95,27513.4,91338915,11821.29
2025-01-06,27574.1,27600.35,27070.25,27158.25,69229293,10019.07
2025-01-07,27217.6,27326.7,27119.9,27146.1,60666589,9695.09
2025-01-08,27197.5,27210.8,26769.35,26921.6,66791241,10312.22
2025-01-09,26946.45,27078.8,26849.45,26878.3,79662325,11892.16
2025-01-10,26906.1,26994.35,26615.75,26648.95,67952856,12716.28
2025-01-13,26438.8,26474.9,25981,26039.15,74126856,12042.67
2025-01-14,26063.25,26139.05,25923,26019,89763609,14031.78
2025-01-15,26112.6,26134,25822.25,25992.9,48625061,8303.37
2025-01-16,26135.85,26160.8,25985.15,26055.6,75832184,11814.19
2025-01-17,26001.95,26168.85,25910.8,26103.95,66002727,10564.85
2025-01-20,26193.3,26229.2,25915.1,26152.45,54338181,8376.61
2025-01-21,26208.45,26345.75,25838.2,25862.25,86146592,13056.73
2025-01-22,25969.25,26017.45,25781.05,25958.4,61742849,10158.63
2025-01-23,25930.95,26332.65,25930.95,26282.8,59921383,11072.11
2025-01-24,26245.8,26298.15,25973.9,26029.5,63665731,10110.13
2025-01-27,25882.45,25916.05,25551.3,25600.55,72999518,11563.72
2025-01-28,25673.95,25691.65,25363.25,25451.55,96417299,14229.91
2025-01-29,25466.25,25844,25464.85,25823.9,89224511,10748.03
2025-01-30,25840.55,26029.05,25783.4,25978.5,98364814,10653.48
2025-01-31,25999.2,26170.5,25961.4,26115.2,89288615,10700.1
2025-02-01,26166.4,26277.8,25961.15,26191.05,68626812,7800.93
2025-02-03,26093.3,26147.85,25870.35,26047.25,82344763,11652.33
2025-02-04,26198.8,26286.85,26082.55,26263.45,127415203,14148.68
2025-02-05,26324.3,26380.5,26202.65,26259.2,82567525,10319.65
2025-02-06,26386.95,26397.2,26157.4,26210.45,102950475,13407.5
2025-02-07,26291.4,26331.45,26031.7,26150.55,149590488,13624.34
2025-02-10,26155.8,26279.35,25869.3,25940.65,56716024,8444.88
2025-02-11,25941.75,25971.4,25387.25,25497.2,68612751,11081.02
2025-02-12,25518.2,25580.55,25166.35,25440.85,67745380,10778.13
2025-02-13,25467.45,25677.7,25413.2,25450.5,66539491,10583.13
2025-02-14,25503.45,25513.15,24971.95,25105.65,62840018,9142.74
2025-02-17,24956.85,25140.3,24816.4,25121.8,54522627,8232.31
2025-02-18,25134.95,25203,24938.85,25041.25,59120079,8812.79
2025-02-19,24878.5,25057.15,24742.25,24980.5,60707668,10035.87
2025-02-20,24908.35,25070.35,24873.3,25055.45,56209445,8035.76
2025-02-21,25027.05,25066.8,24683.9,24758.65,56947628,9174.42
2025-02-24,24571.55,24653.2,24501.05,24538.65,59635306,9823.12
2025-02-25,24521.95,24595.65,24410.95,24483.15,72229438,10665.86
2025-02-27,24399.35,24502.4,24210.8,24278,88330136,13809.71
2025-02-28,24194.3,24197.55,23619.6,23657,137118553,20745.31
2025-03-03,23706.5,23889.7,23582.95,23853.75,68509579,11381.46
2025-03-04,23674.75,23764,23546.65,23705.9,71279222,10753.56
2025-03-05,23695.8,24095.8,23694.9,24085,71683862,10889.6
2025-03-06,24252.9,24315.6,24103.8,24290.5,81786616,12194.81
2025-03-07,24277.65,24359.3,24177.05,24249.95,50928033,8087.12
2025-03-10,24258.75,24396.15,24022.9,24071.8,51345380,7725.23
2025-03-11,23929.9,24208.9,23897.8,24175.2,64190284,9955.44
2025-03-12,24210.95,24250.75,23864.55,24075.9,78662934,11872.74
2025-03-13,24142.8,24171.45,23957.9,23986.3,53307413,8356.12
2025-03-17,23965.65,24194.75,23965.65,24132.4,54923476,8769.22
2025-03-18,24245.2,24567.3,24183.25,24527.85,72277742,10717
2025-03-19,24595.95,24674.2,24428.85,24633.05,72332354,11072.53
2025-03-20,24740.55,24887.95,24634.75,24847.95,78660424,11993.44
2025-03-21,24866.55,25074.4,24793.15,24985.55,157820850,23618.25
2025-03-24,25130.5,25313.05,25031.5,25278.85,68668061,9984.62
2025-03-25,25390.05,25419.6,25090.85,25158.8,92706195,14009.49
2025-03-26,25226.85,25291.7,25100.15,25144.85,69805776,11569.78
2025-03-27,25069.8,25258.75,24998.45,25204.5,101704055,17387.51
2025-03-28,25231.1,25270.55,25032.55,25142.6,60704398,9537.98
2025-04-01,24994.85,25223.55,24764.3,24824.45,80844868,11918.04
2025-04-02,24823.4,25124.1,24759,25108.75,55495776,9134.81
2025-04-03,25111.15,25268.5,25051.15,25114.4,67957351,11447.87
2025-04-04,25042.45,25092.85,24515.55,24608.8,89853080,13791.51
2025-04-07,23370.65,24149.05,23354.15,24063.45,140541663,20397.26
2025-04-08,24305.5,24631.15,24219.6,24495.2,96532722,14579.8
2025-04-09,24350.65,24467.1,24230.85,24395.2,90098577,12112.2
2025-04-11,24819.7,24837.7,24646.7,24710.95,84693606,14316.42
2025-04-15,25278.25,25291.95,25013.7,25260.4,81864689,13308.2
2025-04-16,25198.3,25324.75,25147.55,25292.75,88510857,12298.86
2025-04-17,25292.4,25596.75,25194.9,25565.4,121469549,16098.04
2025-04-21,25701.95,25868.55,25615.15,25825.65,101578360,12956.33
2025-04-22,25871.1,25971.9,25712.55,25925.95,109130867,13665.73
2025-04-23,26080.4,26291.3,25977.2,26275.35,106165421,15884.42
2025-04-24,26269.15,26392,26186.1,26331.7,95162390,13775.35
