Date,Close,
1932-02-01,145.83,
1932-03-01,147.40,
1932-04-01,112.88,
1932-05-01,100.48,
1932-06-01,87.63,
1932-07-01,92.03,
1932-08-01,139.35,
1932-09-01,154.00,
1932-10-01,133.75,
1932-11-01,133.43,
1932-12-01,130.07,
1933-01-01,137.31,
1933-02-01,122.95,
1933-03-01,123.53,
1933-04-01,136.62,
1933-05-01,175.88,
1933-06-01,204.39,
1933-07-01,214.17,
1933-08-01,201.95,
1933-09-01,200.25,
1933-10-01,180.75,
1933-11-01,185.11,
1933-12-01,188.70,
1934-01-01,199.49,
1934-02-01,212.64,
1934-03-01,201.75,
1934-04-01,205.13,
1934-05-01,184.28,
1934-06-01,185.33,
1934-07-01,176.56,
1934-08-01,169.66,
1934-09-01,163.13,
1934-10-01,165.63,
1934-11-01,170.26,
1934-12-01,172.65,
1935-01-01,170.11,
1935-02-01,163.76,
1935-03-01,153.37,
1935-04-01,163.66,
1935-05-01,176.51,
1935-06-01,184.55,
1935-07-01,194.22,
1935-08-01,207.35,
1935-09-01,211.72,
1935-10-01,217.38,
1935-11-01,236.08,
1935-12-01,236.08,
1936-01-01,249.11,
1936-02-01,263.41,
1936-03-01,270.99,
1936-04-01,271.35,
1936-05-01,256.95,
1936-06-01,265.95,
1936-07-01,279.67,
1936-08-01,283.21,
1936-09-01,286.42,
1936-10-01,301.41,
1936-11-01,309.80,
1936-12-01,304.44,
1937-01-01,311.67,
1937-02-01,320.89,
1937-03-01,318.28,
1937-04-01,297.18,
1937-05-01,281.93,
1937-06-01,271.35,
1937-07-01,285.50,
1937-08-01,288.43,
1937-09-01,245.90,
1937-10-01,210.14,
1937-11-01,192.98,
1937-12-01,191.19,
1938-01-01,198.99,
1938-02-01,195.62,
1938-03-01,182.68,
1938-04-01,174.01,
1938-05-01,176.83,
1938-06-01,180.91,
1938-07-01,216.88,
1938-08-01,218.12,
1938-09-01,208.20,
1938-10-01,233.06,
1938-11-01,233.24,
1938-12-01,226.46,
1939-01-01,223.07,
1939-02-01,222.87,
1939-03-01,222.70,
1939-04-01,196.07,
1939-05-01,203.31,
1939-06-01,206.93,
1939-07-01,212.00,
1939-08-01,208.92,
1939-09-01,226.27,
1939-10-01,230.21,
1939-11-01,226.10,
1939-12-01,220.75,
1940-01-01,221.08,
1940-02-01,218.07,
1940-03-01,216.82,
1940-04-01,218.96,
1940-05-01,188.80,
1940-06-01,171.34,
1940-07-01,178.28,
1940-08-01,182.02,
1940-09-01,189.70,
1940-10-01,191.48,
1940-11-01,195.94,
1940-12-01,186.58,
1941-01-01,186.93,
1941-02-01,175.24,
1941-03-01,175.06,
1941-04-01,168.42,
1941-05-01,163.61,
1941-06-01,165.88,
1941-07-01,174.37,
1941-08-01,171.20,
