Date,Close,Unnamed: 5,Unnamed: 6
2016-06-07,4467.1,,
2016-06-08,4466.71,,
2016-06-09,4453.18,,
2016-06-10,4424.55,,
2016-06-13,4414.69,,
2016-06-14,4413.96,,
2016-06-15,4432.69,,
2016-06-16,4412.67,,
2016-06-17,4400.37,,
2016-06-20,4413.66,,
2016-06-21,4412.8,,
2016-06-22,4411.79,,
2016-06-23,4426.34,,
2016-06-24,4369.71,,
2016-06-27,4417.09,,
2016-06-28,4467.58,,
2016-06-29,4499.49,,
2016-06-30,4545.73,,
2016-07-01,4592.87,,
2016-07-04,4614.45,,
2016-07-05,4589.63,,
2016-07-07,4559.82,,
2016-07-08,4592.28,,
2016-07-11,4670.08,,
2016-07-12,4693.11,,
2016-07-13,4661.7,,
2016-07-14,4681.13,,
2016-07-15,4678.06,,
2016-07-18,4659.38,,
2016-07-19,4670.03,,
2016-07-20,4699.64,,
2016-07-21,4715.06,,
2016-07-22,4752.83,,
2016-07-25,4806.55,,
2016-07-26,4829.69,,
2016-07-27,4873.72,,
2016-07-28,4897.42,,
2016-07-29,4918.98,,
2016-08-01,4966.11,,
2016-08-02,4934.49,,
2016-08-03,4848.79,,
2016-08-04,4853.91,,
2016-08-05,4946.82,,
2016-08-08,4985.28,,
2016-08-09,4964.48,,
2016-08-10,4886.04,,
2016-08-11,4883.3,,
2016-08-12,4914.92,,
2016-08-16,4918.21,,
2016-08-17,4915.12,,
2016-08-18,4939.41,,
2016-08-19,4948.43,,
2016-08-22,4929.48,,
2016-08-23,4905.96,,
2016-08-24,4953.19,,
2016-08-25,4929.85,,
2016-08-26,4941.28,,
2016-08-29,4977.07,,
2016-08-30,5028.8,,
2016-08-31,5039.0,,
2016-09-01,5017.37,,
2016-09-02,5027.76,,
2016-09-06,5130.37,,
2016-09-07,5118.72,,
2016-09-08,5136.6,,
2016-09-09,5092.65,,
2016-09-12,4950.03,,
2016-09-14,4989.85,,
2016-09-15,4983.51,,
2016-09-16,4979.21,,
2016-09-19,5009.96,,
2016-09-20,4994.74,,
2016-09-21,4990.28,,
2016-09-22,5076.68,,
2016-09-23,5069.37,,
2016-09-26,5061.62,,
2016-09-27,5055.42,,
2016-09-28,5086.25,,
2016-09-29,4923.54,,
2016-09-30,4994.01,,
2016-10-03,5134.26,,
2016-10-04,5158.75,,
2016-10-05,5179.22,,
2016-10-06,5178.16,,
2016-10-07,5191.76,,
2016-10-10,5202.11,,
2016-10-13,5108.55,,
2016-10-14,5131.48,,
2016-10-17,5086.16,,
2016-10-18,5176.2,,
2016-10-19,5173.4,,
2016-10-20,5190.68,,
2016-10-21,5181.41,,
2016-10-24,5174.63,,
2016-10-25,5179.08,,
2016-10-26,5110.74,,
2016-10-27,5029.34,,
2016-10-28,5078.4,,
2016-10-30,5082.3,,
2016-11-01,5113.45,,
2016-11-02,5009.31,,
2016-11-03,4975.09,,
2016-11-04,4915.36,,
